symbol,title,summary,url,time_published,sentiment_score,source
XOM,2 Tech Stocks You Can Buy and Hold for the Next Decade,These stocks have a lot going for them.,https://www.fool.com/investing/2024/08/25/2-tech-stocks-you-can-buy-and-hold-for-10-years/,20240825T154300,0.211487,Motley Fool
XOM,Chevron Continues to Take Steps to Capture This Potentially $4 Trillion Opportunity  ( But it Remains Well Behind Rival ExxonMobil ) ,Carbon capture and storage could be a very lucrative market opportunity for oil companies.,https://www.fool.com/investing/2024/08/25/chevron-continues-to-take-steps-to-capture-this-po/,20240825T102600,0.25575,Motley Fool
XOM,Is ExxonMobil a Millionaire Maker?,"ExxonMobil is a well-run energy company, but it is still beholden to the volatility of oil prices.",https://www.fool.com/investing/2024/08/24/is-exxonmobil-a-millionaire-maker/,20240824T225900,0.371138,Motley Fool
XOM,"Meet the Supercharged Growth Stock That Could Join Apple, Microsoft, and Nvidia in the $3 Trillion Club by 2031",Strong growth and secular tailwinds should help drive this tech titan to new heights.,https://www.fool.com/investing/2024/08/24/meet-the-supercharged-growth-stock-that-could-join/,20240824T150500,0.33212,Motley Fool
XOM,1 Dividend Growth ETF That Can Turbocharge Your Portfolio,The iShares Core Dividend Growth ETF offers investors exposure to high-quality companies with a history of consistent dividend growth.,https://www.fool.com/investing/2024/08/24/1-dividend-growth-etf-that-can-turbocharge-your-po/,20240824T114500,0.519426,Motley Fool
XOM,This 3%-Yielding Energy Stock Raised Its Dividend Through the Past 4 Recessions,ExxonMobil is a dividend-paying machine.,https://www.fool.com/investing/2024/08/24/this-3-yielding-energy-stock-raised-its-dividend-t/,20240824T090400,0.239134,Motley Fool
XOM,5 Top No-Load Mutual Funds to Add to Your Portfolio,"Invest in no-load mutual funds like FSENX, FSELX, MLPTX, VSMIX and DRGVX that have performed well so far and will continue to give high returns in the future.",https://www.zacks.com/stock/news/2326175/5-top-no-load-mutual-funds-to-add-to-your-portfolio,20240823T120200,0.148807,Zacks Commentary
XOM,"Ethyl Tertiary-butyl Ether Market Size & Share to Surpass USD 15.6 billion by 2034 | Analysis by Transparency Market Research, Inc.","Wilmington, Delaware, United States, Transparency Market Research Inc. -, Aug. 23, 2024 ( GLOBE NEWSWIRE ) -- The global ethyl tertiary-butyl ether market ( 에틸 3차-부틸 에테르 시장 ) is estimated to flourish at a CAGR of 9.1% from 2024 to 2034.",https://www.benzinga.com/pressreleases/24/08/g40522515/ethyl-tertiary-butyl-ether-market-size-share-to-surpass-usd-15-6-billion-by-2034-analysis-by-trans,20240823T074400,0.345115,Benzinga
XOM,Does a Hike Make Murphy USA  ( MUSA )  a Good Dividend Stock?,Murphy USA's (MUSA) policy dictates that it ploughs back a small portion of its capital in paying dividends.,https://www.zacks.com/stock/news/2325474/does-a-hike-make-murphy-usa-musa-a-good-dividend-stock,20240822T115400,0.373563,Zacks Commentary
XOM,Big Oil Battle: ExxonMobil and Chevron Are Fighting Over This Oil-Rich Spot,Exxon would love to own more of its offshore development in Guyana or at least keep it out of Chevron's hands.,https://www.fool.com/investing/2024/08/22/big-oil-battle-exxonmobil-and-chevron-are-fighting/,20240822T114100,0.289049,Motley Fool
XOM,"3 High-Yield Dividend Stocks That Could Soar More than 20%, According to Wall Street","Even if analysts' price targets aren't reached, these stocks should pay investors handsomely to own them.",https://www.fool.com/investing/2024/08/22/3-high-yield-dividend-stocks-that-could-soar-more/,20240822T094100,0.199916,Motley Fool
XOM,Stock Market Sell-Off: Here Are the 3 Best Vanguard ETFs to Buy on the Dip,Learn which Vanguard ETFs are best for buying when the market has a short-term drop.,https://www.fool.com/investing/2024/08/22/stock-market-sell-off-here-are-the-3-best-vanguard/,20240822T083800,0.254576,Motley Fool
XOM,Forget ExxonMobil: Buy This High-Yield Dividend Stock Instead,A more attractive valuation and impressive operational performance make this stock a better buy than its more-famous peer.,https://www.fool.com/investing/2024/08/22/forget-exxon-mobil-buy-this-high-yield-dividend-st/,20240822T082200,0.308742,Motley Fool
XOM,Exxon  ( XOM )  Is Considered a Good Investment by Brokers: Is That True?,"Based on the average brokerage recommendation (ABR), Exxon (XOM) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",https://www.zacks.com/stock/news/2324914/exxon-xom-is-considered-a-good-investment-by-brokers-is-that-true,20240821T133012,0.281292,Zacks Commentary
XOM,HCA Healthcare and Adams Resources & Energy have been highlighted as Zacks Bull and Bear of the Day,"Chicago, IL - August 21, 2024 - Zacks Equity Research shares HCA Healthcare ( HCA Quick QuoteHCA - ) as the Bull of the Day and Adams Resources & Energy ( AE Quick QuoteAE - ) as the Bear of the Day.",https://www.zacks.com/stock/news/2324811/hca-healthcare-and-adams-resources-energy-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,20240821T124100,0.301468,Zacks Commentary
XOM,3 Vanguard Mutual Funds to Buy With Rate Cuts on the Horizon,"Invest in Vanguard mutual funds like VGENX, VWNDX and VEIPX for high returns and risk reduction as the first rate cut appears on the horizon.",https://www.zacks.com/stock/news/2324808/3-vanguard-mutual-funds-to-buy-with-rate-cuts-on-the-horizon,20240821T123900,0.231285,Zacks Commentary
XOM,Oil & Gas Stock Roundup: Shell in Australia & SLB in Russia Make Headlines,"SHEL,SLB, XOM, MRO and NEXT emerge as the energy headline makers during the week.",https://www.zacks.com/stock/news/2324902/oil-gas-stock-roundup-shell-in-australia-slb-in-russia-make-headlines,20240821T122800,0.083439,Zacks Commentary
XOM,The Secret's Out: Buy This Magnificent High-Yield Dividend Stock Before Wall Street Catches On,Delek Logistics Partners continues to deliver more income to its investors.,https://www.fool.com/investing/2024/08/21/secrets-out-buy-this-magnificent-high-yield-divide/,20240821T112100,0.277516,Motley Fool
XOM,"EVA Resins & Films Market Size to be Worth USD 6.8 billion by 2031, Growing at CAGR of 6.3% | Exclusive Report by Transparency Market Research, Inc.","Wilmington, Delaware, United States, Transparency Market Research Inc.-, Aug. 21, 2024 ( GLOBE NEWSWIRE ) -- According to Transparency Market Research ( TMR ) , the global EVA resins & films market ( EVA樹脂・フィルム市場 ) estimated to reach US$ 6.8 Bn by the end of 2031 from US$ 4.6 Bn in 2022 at a ...",https://www.benzinga.com/pressreleases/24/08/g40480150/eva-resins-films-market-size-to-be-worth-usd-6-8-billion-by-2031-growing-at-cagr-of-6-3-exclusive-,20240821T094300,0.161952,Benzinga
XOM,Arbitration To Uncover Hidden Value Of Hess' Guyana Oil Assets In Exxon Mobil vs. Chevron Dispute: Report - Exxon Mobil  ( NYSE:XOM ) ,Exxon Mobil Corporation XOM shares are trading lower on Tuesday. An arbitration panel deciding the high-profile dispute between Exxon Mobil and Chevron Corporation CVX will reportedly examine the hidden value of Hess Corporation's HES oil assets in Guyana.,https://www.benzinga.com/markets/equities/24/08/40467815/arbitration-to-uncover-hidden-value-of-hess-guyana-oil-assets-in-exxon-mobil-vs-chevron-dispute-,20240820T161617,0.122734,Benzinga
XOM,What the Options Market Tells Us About Exxon Mobil - Exxon Mobil  ( NYSE:XOM ) ,"Deep-pocketed investors have adopted a bullish approach towards Exxon Mobil XOM, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",https://www.benzinga.com/insights/options/24/08/40465645/what-the-options-market-tells-us-about-exxon-mobil,20240820T150043,0.223425,Benzinga
XOM,Hess  ( HES )  Seeks New Partner for Block 59 Offshore Suriname,Hess (HES) has until July 2025 to seek a new partner and proceed with the exploration activities at Block 59.,https://www.zacks.com/stock/news/2324406/hess-hes-seeks-new-partner-for-block-59-offshore-suriname,20240820T130000,0.215095,Zacks Commentary
XOM,3 Large Cap Energy Stocks Gaining From Automated Drilling,"Automated drilling leads to substantial cost savings. Thus, BP, ExxonMobil (XOM) and SLB are well-poised to gain.",https://www.zacks.com/stock/news/2324277/3-large-cap-energy-stocks-gaining-from-automated-drilling,20240820T122900,0.417467,Zacks Commentary
XOM,Should iShares Core High Dividend ETF  ( HDV )  Be on Your Investing Radar?,Style Box ETF report for ...,https://www.zacks.com/stock/news/2324124/should-ishares-core-high-dividend-etf-hdv-be-on-your-investing-radar,20240820T102006,0.244841,Zacks Commentary
XOM,5 Dividend Growth Stocks to Buy and Hold Forever,"Dividend growth stocks offer investors a powerful combination of income and capital appreciation potential, making them attractive for long-term portfolios.",https://www.fool.com/investing/2024/08/19/5-dividend-growth-stocks-to-buy-and-hold-forever/,20240819T133000,0.601843,Motley Fool
XOM,Exxon Mobil Corporation  ( XOM )  Is a Trending Stock: Facts to Know Before Betting on It,"Zacks.com users have recently been watching Exxon (XOM) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",https://www.zacks.com/stock/news/2323623/exxon-mobil-corporation-xom-is-a-trending-stock-facts-to-know-before-betting-on-it,20240819T130017,0.218012,Zacks Commentary
XOM,"These Were the 5 Biggest Companies in 1994, and Here Are the 5 Biggest Companies Now","Only one company held its spot on the list, and its revenue has increased almost tenfold.",https://www.fool.com/investing/2024/08/19/5-biggest-companies-in-1994-and-5-biggest-now/,20240819T125300,0.218913,Motley Fool
XOM,Is Vanguard High Dividend Yield ETF  ( VYM )  a Strong ETF Right Now?,Smart Beta ETF report for ...,https://www.zacks.com/stock/news/2323501/is-vanguard-high-dividend-yield-etf-vym-a-strong-etf-right-now,20240819T102008,0.254205,Zacks Commentary
XOM,These 3 Index ETFs Are a Retiree's Best Friend,"When purchased in tandem, these three investments offer everything needed in a retirement portfolio.",https://www.fool.com/investing/2024/08/17/these-3-index-etfs-are-a-retirees-best-friend/,20240817T180700,0.266532,Motley Fool
XOM,Looking for Safe Dividend Income? These 3 Stocks Have Rock-Solid Payouts.,"These stocks pay above-average yields, and their dividend income could rise higher in the future.",https://www.fool.com/investing/2024/08/17/looking-for-safe-dividend-income-these-3-stocks-ha/,20240817T131000,0.196584,Motley Fool
XOM,Will Broadcom Be a Trillion-Dollar Stock by 2030?,"Is Broadcom on a path to join the trillion-dollar club? The numbers suggest it's not just possible, but even quite likely.",https://www.fool.com/investing/2024/08/17/will-broadcom-be-a-trillion-dollar-stock-by-2030/,20240817T103300,0.17492,Motley Fool
XOM,ExxonMobil's  ( XOM )  Seventh Guyana Oil Project Set for 2025,"ExxonMobil's (XOM) seventh offshore oil project in Guyana, Hammerhead, is expected to increase its production capacity by 180,000 bpd, with the development plan set for early 2025.",https://www.zacks.com/stock/news/2323124/exxonmobils-xom-seventh-guyana-oil-project-set-for-2025,20240816T131100,0.170405,Zacks Commentary
XOM,CGI Group  ( GIB )  Expands Clientele With The City of New York,"CGI Group (GIB) secures a five-year deal with NYC to enhance the STARS parking violation system, boosting revenue collection and system efficiency.",https://www.zacks.com/stock/news/2322642/cgi-group-gib-expands-clientele-with-the-city-of-new-york,20240815T140000,0.333753,Zacks Commentary
XOM,FuelCell Energy to Show Industry How to Sustainably Create CO2 at World Brewing Congress - FuelCell Energy  ( NASDAQ:FCEL ) ,"DANBURY, Conn., Aug. 15, 2024 ( GLOBE NEWSWIRE ) -- FuelCell Energy Inc. FCEL announced its participation in the World Brewing Congress, taking place August 17-20 in Minneapolis, Minn.",https://www.benzinga.com/pressreleases/24/08/g40392068/fuelcell-energy-to-show-industry-how-to-sustainably-create-co2-at-world-brewing-congress,20240815T120000,0.253105,Benzinga
XOM,Behind the Scenes of Exxon Mobil's Latest Options Trends - Exxon Mobil  ( NYSE:XOM ) ,"Whales with a lot of money to spend have taken a noticeably bearish stance on Exxon Mobil. Looking at options history for Exxon Mobil XOM we detected 27 trades. If we consider the specifics of each trade, it is accurate to state that 37% of the investors opened trades with bullish expectations ...",https://www.benzinga.com/insights/options/24/08/40379327/behind-the-scenes-of-exxon-mobils-latest-options-trends,20240814T201540,0.170857,Benzinga
XOM,ExxonMobil  ( XOM )  Lays Off 59 Workers Post Pioneer Merger,ExxonMobil (XOM) has issued layoff notices to 59 employees following its $60-billion acquisition of Pioneer Natural Resources. The move is part of the company's strategic workforce reshuffle as it integrates Pioneer's assets and personnel.,https://www.zacks.com/stock/news/2322124/exxonmobil-xom-lays-off-59-workers-post-pioneer-merger,20240814T141000,0.221253,Zacks Commentary
XOM,"Is ExxonMobil  ( XOM )  a Buy, Hold, or Sell After Q2 Earnings?","Permian & Guyana presence will continue to aid ExxonMobil (XOM), which recently reported strong Q2 earnings. However, the stock is overvalued.",https://www.zacks.com/stock/news/2321934/is-exxonmobil-xom-a-buy-hold-or-sell-after-q2-earnings,20240814T123300,0.326489,Zacks Commentary
XOM,ExxonMobil  ( XOM )  Resumes Joliet Refinery After 3-Week Outage,"ExxonMobil (XOM) has begun resuming its Joliet, IL, refinery after a three-week shutdown due to a power outage, tightening heavy crude discounts and easing fuel shortages across four states.",https://www.zacks.com/stock/news/2321145/exxonmobil-xom-resumes-joliet-refinery-after-3-week-outage,20240813T115300,0.090372,Zacks Commentary
XOM,Exxon Mobil Reduces Staff After Pioneer Merger: Report - Exxon Mobil  ( NYSE:XOM ) ,Exxon Mobil Corporation XOM shares are trading lower premarket Tuesday. The company reportedly issued layoff notices to 59 employees as part of a workforce restructure following its $60 billion acquisition of Pioneer Natural Resources.,https://www.benzinga.com/markets/equities/24/08/40335015/exxon-mobil-reduces-staff-after-pioneer-merger-report,20240813T114957,0.070073,Benzinga
XOM,"Tesla's Elon Musk Warns Against Vilifying Oil And Gas Industry In Trump Interview, Cautions Against Rushing With Sustainable Energy Transition: 'It's Not Like The House Is On Fire Immediately' - United States Oil Fund  ( ARCA:USO ) ","Tesla, Inc. TSLA CEO Elon Musk, who is running a company that aims to move humanity toward a sustainable energy future and away from internal combustion engine ( ICE ) vehicles, batted for the oil and gas industry in an X interview with Republican presidential candidate Donald Trump late Monday.",https://www.benzinga.com/markets/equities/24/08/40333362/teslas-elon-musk-warns-against-vilifying-oil-and-gas-industry-in-trump-interview-cautions-agains,20240813T110018,0.180747,Benzinga
XOM,3 Hartford Mutual Funds to Enhance Your Portfolio,"Invests in Hartford mutual funds like HRLTX, HIADX and HILTX for a human-centric investment approach.",https://www.zacks.com/stock/news/2321050/3-hartford-mutual-funds-to-enhance-your-portfolio,20240813T105700,0.252997,Zacks Commentary
XOM,3 Energy Mutual Funds for Outstanding Returns,"Below, we share with you three top-ranked energy mutual funds. Each has earned a Zacks Mutual Fund Rank #1.",https://www.zacks.com/stock/news/2321046/3-energy-mutual-funds-for-outstanding-returns,20240813T105200,0.343715,Zacks Commentary
XOM,Is Invesco FTSE RAFI US 1000 ETF  ( PRF )  a Strong ETF Right Now?,Smart Beta ETF report for PRF ...,https://www.zacks.com/stock/news/2321028/is-invesco-ftse-rafi-us-1000-etf-prf-a-strong-etf-right-now,20240813T102006,0.262092,Zacks Commentary
XOM,"ExxonMobil Is a Rock-Solid Dividend Stock, but So Are These High-Yield Stocks That Are Down Between 4% and 15% Over the Last Year","Boost your passive income stream with these oil, gas, and renewable energy stocks.",https://www.fool.com/investing/2024/08/13/exxonmobil-buy-dividend-stock-passive-income/,20240813T094500,0.345993,Motley Fool
XOM,"N-Butyl Acetate Market Size & Share to Surpass USD 1.7 billion by 2034, at a CAGR 3.0% - Transparency Market Research, Inc.","Wilmington, Delaware, United States, Transparency Market Research Inc. -, Aug. 13, 2024 ( GLOBE NEWSWIRE ) -- The global n-butyl acetate market ( سوق خلات بوتيل ن ) is estimated to rise at a CAGR of 3.0% from 2024 to 2034.",https://www.benzinga.com/pressreleases/24/08/g40331090/n-butyl-acetate-market-size-share-to-surpass-usd-1-7-billion-by-2034-at-a-cagr-3-0-transparency-ma,20240813T084400,0.301501,Benzinga
XOM,Market Momentum: Your Weekly Financial Forecast,"During the week of August 5 through August 9, 2024, the U.S. financial markets were characterized by notable volatility as the VIX tagged 65+ in a scramble for protection and a mixed performance across various sectors. /NQ was down over 5% in pre-market/globex before the Monday cash open.",https://www.benzinga.com/markets/24/08/40317664/market-momentum-your-weekly-financial-forecast,20240812T153923,0.159893,Benzinga
XOM,SAP Stock Up 50% in the Past Year: Will the Momentum Last?,"SAP's performance is driven by continued strength in its cloud business. However, global macroeconomic weakness and tough competition in the cloud space remain concerning.",https://www.zacks.com/stock/news/2320617/sap-stock-up-50-in-the-past-year-will-the-momentum-last,20240812T123800,0.158591,Zacks Commentary
XOM,"Equinor  ( EQNR )  Exits Suriname, Cuts International Footprint","Equinor's (EQNR) decision to exit Suriname aligns with the company's broader objective to focus on a few core production areas, such as Norway, the Gulf of Mexico and Brazil.",https://www.zacks.com/stock/news/2320571/equinor-eqnr-exits-suriname-cuts-international-footprint,20240812T122300,0.194464,Zacks Commentary
XOM,"These Were the 5 Biggest Companies in 2004, and Here Are the 5 Biggest Companies Now",A lot has changed in the stock market in 20 years.,https://www.fool.com/investing/2024/08/12/these-were-the-5-biggest-companies-in-2004-and-her/,20240812T104500,0.165572,Motley Fool
XOM,Is WisdomTree U.S. High Dividend ETF  ( DHS )  a Strong ETF Right Now?,Smart Beta ETF report for ...,https://www.zacks.com/stock/news/2320403/is-wisdomtree-us-high-dividend-etf-dhs-a-strong-etf-right-now,20240812T102006,0.249439,Zacks Commentary
